frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
1778268201.690291000,10.19.155.22,10.19.155.241,5000,19683,309,0x0018
1778268201.694303000,10.19.155.22,10.19.155.241,5000,64172,2501,0x0018
1778268201.695004000,10.19.155.241,10.19.155.22,64172,5000,60,0x0010
1778268201.695442000,10.19.155.241,10.19.155.22,64172,5000,134,0x0018
1778268201.696078000,10.19.155.241,10.19.155.22,64172,5000,660,0x0018
1778268201.696375000,10.19.155.22,10.19.155.241,5000,64172,309,0x0018
1778268201.700555000,10.19.155.22,10.19.155.241,5000,64172,4434,0x0018
1778268201.701135000,10.19.155.241,10.19.155.22,64172,5000,60,0x0010
1778268201.701136000,10.19.155.241,10.19.155.22,64172,5000,60,0x0010
1778268201.701168000,10.19.155.22,10.19.155.241,5000,64172,64,0x0018
1778268201.701806000,10.19.155.241,10.19.155.22,64172,5000,60,0x0011
1778268201.702327000,10.19.155.22,10.19.155.241,5000,64172,78,0x0018
1778268201.702859000,10.19.155.22,10.19.155.241,5000,64172,54,0x0011
1778268201.702850000,10.19.155.241,10.19.155.22,64172,5000,60,0x0014
1778268201.703632000,10.19.155.22,10.19.155.241,5000,19683,727,0x0019
1778268201.704146000,10.19.155.241,10.19.155.22,19683,5000,60,0x0010
1778268201.704898000,10.19.155.241,10.19.155.22,19683,5000,60,0x0011
1778268201.704936000,10.19.155.22,10.19.155.241,5000,19683,54,0x0010
1778268204.681412000,10.19.155.241,10.19.155.22,18855,5000,66,0x0002
1778268204.681555000,10.19.155.22,10.19.155.241,5000,18855,66,0x0012
1778268204.682703000,10.19.155.241,10.19.155.22,27840,5000,66,0x0002
1778268204.682705000,10.19.155.241,10.19.155.22,18855,5000,60,0x0010
1778268204.682705000,10.19.155.241,10.19.155.22,18855,5000,2026,0x0018
1778268204.682744000,10.19.155.22,10.19.155.241,5000,27840,66,0x0012
1778268204.683120000,10.19.155.22,10.19.155.241,5000,18855,54,0x0010
1778268204.683851000,10.19.155.241,10.19.155.22,27840,5000,60,0x0010
1778268204.683852000,10.19.155.241,10.19.155.22,27840,5000,2026,0x0018
1778268204.683912000,10.19.155.22,10.19.155.241,5000,27840,54,0x0010
1778268204.684070000,10.19.155.22,10.19.155.241,5000,18855,1383,0x0018
1778268204.685154000,10.19.155.241,10.19.155.22,18855,5000,84,0x0018
1778268204.685156000,10.19.155.241,10.19.155.22,18855,5000,60,0x0011
1778268204.685724000,10.19.155.22,10.19.155.241,5000,18855,54,0x0011
1778268204.686516000,10.19.155.241,10.19.155.22,20601,5000,66,0x0002
1778268204.686517000,10.19.155.241,10.19.155.22,18855,5000,60,0x0010
1778268204.686559000,10.19.155.22,10.19.155.241,5000,20601,66,0x0012
1778268204.687081000,10.19.155.22,10.19.155.241,5000,27840,1383,0x0018
1778268204.687511000,10.19.155.241,10.19.155.22,20601,5000,60,0x0010
1778268204.687512000,10.19.155.241,10.19.155.22,20601,5000,1787,0x0018
1778268204.687555000,10.19.155.22,10.19.155.241,5000,20601,54,0x0010
1778268204.687971000,10.19.155.241,10.19.155.22,27840,5000,84,0x0018
1778268204.687972000,10.19.155.241,10.19.155.22,27840,5000,60,0x0011
1778268204.688331000,10.19.155.22,10.19.155.241,5000,27840,54,0x0011
1778268204.688914000,10.19.155.241,10.19.155.22,26617,5000,66,0x0002
1778268204.688916000,10.19.155.241,10.19.155.22,27840,5000,60,0x0010
1778268204.688967000,10.19.155.22,10.19.155.241,5000,26617,66,0x0012
1778268204.689978000,10.19.155.241,10.19.155.22,26617,5000,60,0x0010
1778268204.691690000,10.19.155.241,10.19.155.22,26617,5000,1819,0x0018
1778268204.691723000,10.19.155.22,10.19.155.241,5000,26617,54,0x0010
1778268204.691977000,10.19.155.22,10.19.155.241,5000,20601,2501,0x0018
1778268204.693098000,10.19.155.241,10.19.155.22,20601,5000,60,0x0010
1778268204.693100000,10.19.155.241,10.19.155.22,20601,5000,134,0x0018
1778268204.693100000,10.19.155.241,10.19.155.22,20601,5000,622,0x0018
1778268204.693478000,10.19.155.22,10.19.155.241,5000,20601,309,0x0018
1778268204.700200000,10.19.155.22,10.19.155.241,5000,26617,2501,0x0018
1778268204.701068000,10.19.155.241,10.19.155.22,26617,5000,60,0x0010
1778268204.701069000,10.19.155.241,10.19.155.22,26617,5000,134,0x0018
1778268204.701585000,10.19.155.241,10.19.155.22,26617,5000,660,0x0018
1778268204.701538000,10.19.155.22,10.19.155.241,5000,26617,309,0x0018
1778268204.704537000,10.19.155.22,10.19.155.241,5000,26617,4434,0x0018
1778268204.705201000,10.19.155.241,10.19.155.22,26617,5000,60,0x0010
1778268204.705203000,10.19.155.241,10.19.155.22,26617,5000,60,0x0010
1778268204.705318000,10.19.155.22,10.19.155.241,5000,26617,64,0x0018
1778268204.706469000,10.19.155.241,10.19.155.22,26617,5000,60,0x0011
1778268204.706823000,10.19.155.22,10.19.155.241,5000,26617,78,0x0018
1778268204.707626000,10.19.155.241,10.19.155.22,26617,5000,60,0x0014
1778268204.708782000,10.19.155.22,10.19.155.241,5000,20601,727,0x0019
1778268204.709436000,10.19.155.241,10.19.155.22,20601,5000,60,0x0010
1778268204.710021000,10.19.155.241,10.19.155.22,20601,5000,60,0x0011
1778268204.710055000,10.19.155.22,10.19.155.241,5000,20601,54,0x0010
1778268207.681954000,10.19.155.241,10.19.155.22,55553,5000,66,0x0002
1778268207.681955000,10.19.155.241,10.19.155.22,39275,5000,66,0x0002
1778268207.681993000,10.19.155.22,10.19.155.241,5000,55553,66,0x0012
1778268207.682238000,10.19.155.22,10.19.155.241,5000,39275,66,0x0012
1778268207.683007000,10.19.155.241,10.19.155.22,55553,5000,60,0x0010
1778268207.683009000,10.19.155.241,10.19.155.22,39275,5000,60,0x0010
1778268207.683009000,10.19.155.241,10.19.155.22,55553,5000,2122,0x0018
1778268207.683075000,10.19.155.22,10.19.155.241,5000,55553,54,0x0010
1778268207.683886000,10.19.155.22,10.19.155.241,5000,55553,1383,0x0018
1778268207.684254000,10.19.155.241,10.19.155.22,39275,5000,2122,0x0018
1778268207.684266000,10.19.155.22,10.19.155.241,5000,39275,54,0x0010
1778268207.684739000,10.19.155.241,10.19.155.22,55553,5000,84,0x0018
1778268207.684740000,10.19.155.241,10.19.155.22,55553,5000,60,0x0011
1778268207.685000000,10.19.155.22,10.19.155.241,5000,55553,54,0x0011
1778268207.685381000,10.19.155.241,10.19.155.22,55553,5000,60,0x0010
1778268207.685382000,10.19.155.241,10.19.155.22,51009,5000,66,0x0002
1778268207.685404000,10.19.155.22,10.19.155.241,5000,51009,66,0x0012
1778268207.686226000,10.19.155.241,10.19.155.22,51009,5000,60,0x0010
1778268207.686228000,10.19.155.241,10.19.155.22,51009,5000,1851,0x0018
1778268207.686257000,10.19.155.22,10.19.155.241,5000,51009,54,0x0010
1778268207.686711000,10.19.155.22,10.19.155.241,5000,39275,1383,0x0018
1778268207.687514000,10.19.155.241,10.19.155.22,39275,5000,84,0x0018
1778268207.687515000,10.19.155.241,10.19.155.22,39275,5000,60,0x0011
1778268207.687725000,10.19.155.22,10.19.155.241,5000,39275,54,0x0011
1778268207.688501000,10.19.155.241,10.19.155.22,39275,5000,60,0x0010
1778268207.688503000,10.19.155.241,10.19.155.22,53191,5000,66,0x0002
1778268207.688536000,10.19.155.22,10.19.155.241,5000,53191,66,0x0012
1778268207.689432000,10.19.155.241,10.19.155.22,53191,5000,60,0x0010
1778268207.689433000,10.19.155.241,10.19.155.22,53191,5000,1851,0x0018
1778268207.689464000,10.19.155.22,10.19.155.241,5000,53191,54,0x0010
1778268207.690872000,10.19.155.22,10.19.155.241,5000,51009,2501,0x0018
1778268207.691441000,10.19.155.241,10.19.155.22,51009,5000,60,0x0010
1778268207.692453000,10.19.155.241,10.19.155.22,51009,5000,134,0x0018
1778268207.692455000,10.19.155.241,10.19.155.22,51009,5000,622,0x0018
1778268207.692697000,10.19.155.22,10.19.155.241,5000,51009,309,0x0018
1778268207.703096000,10.19.155.22,10.19.155.241,5000,53191,2501,0x0018
1778268207.706708000,10.19.155.241,10.19.155.22,53191,5000,60,0x0010
1778268207.706709000,10.19.155.241,10.19.155.22,53191,5000,134,0x0018
1778268207.706709000,10.19.155.241,10.19.155.22,53191,5000,660,0x0018
1778268207.709411000,10.19.155.22,10.19.155.241,5000,53191,309,0x0018
1778268207.711680000,10.19.155.22,10.19.155.241,5000,53191,4434,0x0018
1778268207.712136000,10.19.155.241,10.19.155.22,53191,5000,60,0x0010
1778268207.712137000,10.19.155.241,10.19.155.22,53191,5000,60,0x0010
1778268207.712158000,10.19.155.22,10.19.155.241,5000,53191,64,0x0018
1778268207.712973000,10.19.155.241,10.19.155.22,53191,5000,60,0x0011
1778268207.713897000,10.19.155.22,10.19.155.241,5000,53191,78,0x0018
1778268207.714193000,10.19.155.22,10.19.155.241,5000,51009,727,0x0019
1778268207.714341000,10.19.155.241,10.19.155.22,53191,5000,60,0x0014
1778268207.714709000,10.19.155.241,10.19.155.22,51009,5000,60,0x0010
1778268207.715079000,10.19.155.241,10.19.155.22,51009,5000,60,0x0011
1778268207.715101000,10.19.155.22,10.19.155.241,5000,51009,54,0x0010
1778268210.684039000,10.19.155.241,10.19.155.22,22917,5000,66,0x0002
1778268210.684083000,10.19.155.22,10.19.155.241,5000,22917,66,0x0012
1778268210.685287000,10.19.155.241,10.19.155.22,56834,5000,66,0x0002
1778268210.685288000,10.19.155.241,10.19.155.22,22917,5000,60,0x0010
1778268210.685289000,10.19.155.241,10.19.155.22,22917,5000,2122,0x0018
1778268210.685314000,10.19.155.22,10.19.155.241,5000,56834,66,0x0012
1778268210.685643000,10.19.155.22,10.19.155.241,5000,22917,54,0x0010
1778268210.691937000,10.19.155.22,10.19.155.241,5000,22917,1383,0x0018
1778268210.692224000,10.19.155.241,10.19.155.22,56834,5000,60,0x0010
1778268210.692226000,10.19.155.241,10.19.155.22,56834,5000,2058,0x0018
1778268210.692383000,10.19.155.22,10.19.155.241,5000,56834,54,0x0010
1778268210.693169000,10.19.155.241,10.19.155.22,22917,5000,84,0x0018
1778268210.693170000,10.19.155.241,10.19.155.22,22917,5000,60,0x0011
1778268210.693928000,10.19.155.22,10.19.155.241,5000,22917,54,0x0011
1778268210.694995000,10.19.155.22,10.19.155.241,5000,56834,1383,0x0018
1778268210.697866000,10.19.155.241,10.19.155.22,45956,5000,66,0x0002
1778268210.697867000,10.19.155.241,10.19.155.22,22917,5000,60,0x0010
1778268210.697868000,10.19.155.241,10.19.155.22,56834,5000,84,0x0018
1778268210.697868000,10.19.155.241,10.19.155.22,56834,5000,60,0x0011
1778268210.697868000,10.19.155.241,10.19.155.22,52589,5000,66,0x0002
1778268210.697897000,10.19.155.22,10.19.155.241,5000,45956,66,0x0012
1778268210.698166000,10.19.155.22,10.19.155.241,5000,52589,66,0x0012
1778268210.699403000,10.19.155.22,10.19.155.241,5000,56834,54,0x0011
1778268210.699723000,10.19.155.241,10.19.155.22,45956,5000,60,0x0010
1778268210.699724000,10.19.155.241,10.19.155.22,52589,5000,60,0x0010
1778268210.699724000,10.19.155.241,10.19.155.22,45956,5000,1819,0x0018
1778268210.699725000,10.19.155.241,10.19.155.22,52589,5000,1819,0x0018
1778268210.699725000,10.19.155.241,10.19.155.22,56834,5000,60,0x0010
1778268210.699819000,10.19.155.22,10.19.155.241,5000,45956,54,0x0010
1778268210.699899000,10.19.155.22,10.19.155.241,5000,52589,54,0x0010
1778268210.701180000,10.19.155.22,10.19.155.241,5000,45956,2501,0x0018
1778268210.701771000,10.19.155.241,10.19.155.22,45956,5000,60,0x0010
1778268210.702078000,10.19.155.241,10.19.155.22,45956,5000,134,0x0018
1778268210.703153000,10.19.155.22,10.19.155.241,5000,45956,309,0x0018
1778268210.703417000,10.19.155.241,10.19.155.22,45956,5000,622,0x0018
1778268210.706017000,10.19.155.22,10.19.155.241,5000,52589,2501,0x0018
1778268210.706562000,10.19.155.241,10.19.155.22,52589,5000,60,0x0010
1778268210.707924000,10.19.155.241,10.19.155.22,52589,5000,134,0x0018
1778268210.707924000,10.19.155.241,10.19.155.22,52589,5000,660,0x0018
1778268210.708147000,10.19.155.22,10.19.155.241,5000,52589,309,0x0018
